@relation Crop_recommendation-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute n numeric
@attribute p numeric
@attribute k numeric
@attribute temperature numeric
@attribute humidity numeric
@attribute ph numeric
@attribute rainfall numeric
@attribute label {apple,banana,blackgram,chickpea,coconut,coffee,cotton,grapes,jute,kidneybeans,lentil,maize,mango,mothbeans,mungbean,muskmelon,orange,papaya,pigeonpeas,pomegranate,rice,watermelon}

@data
0.5,0.221429,0.185,0.373471,0.775407,0.535191,0.654476,rice
0.542857,0.3,0.185,0.323044,0.805297,0.347481,0.874535,rice
0.707143,0.257143,0.155,0.448563,0.798965,0.502913,0.583262,rice
0.707143,0.35,0.16,0.353454,0.770812,0.325032,0.641144,rice
0.614286,0.385714,0.15,0.486704,0.791532,0.535257,0.802234,rice
0.492857,0.292857,0.18,0.425126,0.77024,0.234418,0.872643,rice
0.65,0.364286,0.16,0.41912,0.77354,0.444568,0.895612,rice
0.435714,0.335714,0.18,0.463446,0.812303,0.524961,0.663157,rice
0.478571,0.285714,0.165,0.398918,0.792226,0.590274,0.864657,rice
0.564286,0.264286,0.16,0.460471,0.800036,0.479472,0.989399,rice
0.557143,0.271429,0.185,0.358627,0.801938,0.58768,0.618319,rice
0.535714,0.35,0.155,0.501265,0.820205,0.547278,0.852456,rice
0.692857,0.221429,0.2,0.384594,0.788587,0.534082,0.92642,rice
0.478571,0.3,0.195,0.513777,0.787738,0.678615,0.934774,rice
0.521429,0.214286,0.165,0.460936,0.789993,0.233355,0.595421,rice
0.55,0.221429,0.16,0.518188,0.783939,0.409213,0.626428,rice
0.578571,0.257143,0.165,0.3975,0.810401,0.625057,0.649193,rice
0.485714,0.371429,0.19,0.495354,0.771335,0.342469,0.584493,rice
0.514286,0.285714,0.15,0.476447,0.80128,0.350488,0.629233,rice
0.435714,0.342857,0.19,0.50438,0.779227,0.442411,0.729861,rice
0.478571,0.271429,0.17,0.494064,0.82487,0.388038,0.598323,rice
0.478571,0.378571,0.17,0.472228,0.773247,0.30307,0.718179,rice
0.471429,0.392857,0.165,0.380492,0.807387,0.445983,0.759929,rice
0.585714,0.271429,0.165,0.414938,0.783623,0.248951,0.79794,rice
0.6,0.321429,0.195,0.478058,0.78331,0.377988,0.583597,rice
0.578571,0.342857,0.185,0.426116,0.778986,0.260184,0.766995,rice
0.65,0.321429,0.175,0.344309,0.815131,0.459951,0.754496,rice
0.664286,0.342857,0.165,0.519494,0.789233,0.554313,0.971688,rice
0.642857,0.278571,0.165,0.430689,0.812211,0.617134,0.793932,rice
0.578571,0.285714,0.15,0.507981,0.768335,0.412673,0.713871,rice
0.557143,0.25,0.165,0.506132,0.811891,0.629068,0.819168,rice
0.428571,0.328571,0.155,0.398019,0.799694,0.392447,0.850678,rice
0.628571,0.292857,0.185,0.397635,0.807308,0.482127,0.625309,rice
0.664286,0.3,0.16,0.364644,0.791868,0.465853,0.990533,rice
0.428571,0.357143,0.2,0.361063,0.805742,0.378051,0.960541,rice
0.557143,0.214286,0.195,0.508405,0.821423,0.554855,0.587073,rice
0.464286,0.228571,0.175,0.417029,0.808843,0.284366,0.604286,rice
0.507143,0.35,0.055,0.395638,0.57665,0.349151,0.242675,maize
0.435714,0.278571,0.06,0.495684,0.668621,0.532943,0.294792,maize
0.571429,0.271429,0.055,0.422761,0.668839,0.490365,0.167088,maize
0.521429,0.378571,0.08,0.319843,0.506565,0.480738,0.145287,maize
0.435714,0.235714,0.075,0.276995,0.565035,0.383449,0.162483,maize
0.485714,0.257143,0.055,0.371629,0.508031,0.412743,0.294145,maize
0.664286,0.257143,0.06,0.481955,0.60947,0.395493,0.306285,maize
0.635714,0.392857,0.07,0.469622,0.611641,0.374617,0.207851,maize
0.542857,0.278571,0.06,0.332603,0.563393,0.365562,0.161907,maize
0.478571,0.392857,0.1,0.461866,0.612761,0.349204,0.31976,maize
0.5,0.278571,0.07,0.415819,0.690544,0.365121,0.266162,maize
0.642857,0.314286,0.08,0.459529,0.631101,0.461526,0.193439,maize
0.442857,0.335714,0.055,0.38593,0.520067,0.538433,0.15685,maize
0.657143,0.278571,0.055,0.288433,0.600884,0.400946,0.267832,maize
0.471429,0.35,0.08,0.46957,0.535932,0.375454,0.186502,maize
0.45,0.378571,0.085,0.270543,0.478562,0.419884,0.156323,maize
0.5,0.3,0.06,0.453008,0.655106,0.481479,0.301605,maize
0.435714,0.257143,0.06,0.468191,0.594978,0.391449,0.202887,maize
0.471429,0.342857,0.07,0.409408,0.534949,0.39326,0.162695,maize
0.528571,0.357143,0.07,0.264698,0.567352,0.432966,0.230017,maize
0.55,0.371429,0.08,0.462168,0.69463,0.473663,0.213867,maize
0.707143,0.321429,0.05,0.267474,0.663018,0.321684,0.243817,maize
0.528571,0.364286,0.085,0.271392,0.611283,0.516994,0.218303,maize
0.592857,0.285714,0.08,0.287168,0.519025,0.343912,0.213912,maize
0.714286,0.307143,0.055,0.484745,0.617843,0.318047,0.195092,maize
0.564286,0.328571,0.055,0.473813,0.632733,0.479212,0.273946,maize
0.671429,0.242857,0.065,0.432297,0.504291,0.371418,0.296818,maize
0.535714,0.314286,0.05,0.36471,0.667854,0.375332,0.295579,maize
0.557143,0.307143,0.085,0.409301,0.569813,0.324073,0.180434,maize
0.621429,0.35,0.075,0.481822,0.574089,0.477683,0.318374,maize
0.621429,0.214286,0.1,0.362114,0.570484,0.415733,0.164104,maize
0.45,0.271429,0.07,0.278122,0.481468,0.487868,0.254274,maize
0.6,0.371429,0.1,0.393386,0.626833,0.464095,0.158784,maize
0.457143,0.214286,0.09,0.407311,0.555699,0.338335,0.153861,maize
0.428571,0.292857,0.085,0.461063,0.599088,0.485301,0.243287,maize
0.7,0.278571,0.08,0.48626,0.697951,0.469606,0.31357,maize
0.535714,0.364286,0.065,0.303383,0.561098,0.340799,0.146366,maize
0.614286,0.357143,0.08,0.364877,0.5294,0.513065,0.321684,maize
0.7,0.214286,0.065,0.429609,0.706584,0.427356,0.257059,maize
0.542857,0.371429,0.065,0.291382,0.703048,0.402463,0.266037,maize
0.707143,0.364286,0.06,0.438536,0.686776,0.424484,0.182736,maize
0.428571,0.278571,0.09,0.458224,0.650782,0.344901,0.203045,maize
0.528571,0.307143,0.06,0.367461,0.536836,0.455009,0.176062,maize
0.635714,0.392857,0.06,0.474889,0.501053,0.385547,0.292759,maize
0.492857,0.328571,0.09,0.384269,0.683551,0.512708,0.310438,maize
0.685714,0.292857,0.085,0.337375,0.6386,0.46579,0.165557,maize
0.435714,0.392857,0.05,0.460529,0.635581,0.429342,0.255253,maize
0.528571,0.378571,0.065,0.321712,0.491089,0.501148,0.31907,maize
0.528571,0.271429,0.09,0.49145,0.555654,0.438621,0.285141,maize
0.45,0.271429,0.06,0.300238,0.597412,0.513618,0.183612,maize
0.707143,0.221429,0.075,0.33728,0.595958,0.492405,0.208856,maize
0.55,0.221429,0.09,0.455913,0.495501,0.488928,0.245168,maize
0.621429,0.392857,0.09,0.328481,0.579241,0.456324,0.15194,maize
0.428571,0.235714,0.06,0.275286,0.583009,0.46183,0.201912,maize
0.671429,0.35,0.06,0.417954,0.553944,0.368083,0.312947,maize
0.678571,0.235714,0.085,0.316321,0.54812,0.34615,0.289413,maize
0.6,0.278571,0.08,0.37428,0.555883,0.364784,0.312762,maize
0.55,0.378571,0.07,0.401148,0.492858,0.355642,0.292381,maize
0.471429,0.278571,0.075,0.29419,0.638853,0.503123,0.217403,maize
0.45,0.214286,0.055,0.378812,0.596071,0.430407,0.228208,maize
0.564286,0.285714,0.075,0.429838,0.524794,0.343754,0.250588,maize
0.514286,0.392857,0.1,0.278321,0.638907,0.352812,0.243906,maize
0.478571,0.328571,0.095,0.421159,0.548998,0.323376,0.160111,maize
0.614286,0.221429,0.095,0.508588,0.683985,0.35496,0.190858,maize
0.542857,0.307143,0.065,0.300431,0.64599,0.353205,0.226331,maize
0.535714,0.342857,0.065,0.340413,0.527035,0.522529,0.299768,maize
0.578571,0.285714,0.09,0.301321,0.627322,0.417957,0.229993,maize
0.521429,0.285714,0.08,0.45279,0.692114,0.487074,0.274406,maize
0.507143,0.214286,0.095,0.385886,0.52802,0.36105,0.171568,maize
0.685714,0.35,0.085,0.484258,0.549164,0.537391,0.22632,maize
0.707143,0.242857,0.065,0.297724,0.630487,0.405577,0.243003,maize
0.442857,0.307143,0.075,0.369475,0.539134,0.498216,0.271252,maize
0.614286,0.228571,0.055,0.335482,0.524409,0.319852,0.170286,maize
0.671429,0.321429,0.07,0.415436,0.692543,0.368331,0.277995,maize
0.542857,0.242857,0.095,0.44273,0.482819,0.542909,0.158173,maize
0.55,0.335714,0.06,0.460205,0.600579,0.343691,0.19979,maize
0.528571,0.242857,0.09,0.396009,0.600961,0.509457,0.244159,maize
0.578571,0.314286,0.075,0.264454,0.54077,0.312417,0.301855,maize
0.45,0.264286,0.08,0.414255,0.677445,0.356695,0.168461,maize
0.707143,0.235714,0.08,0.403378,0.668883,0.442857,0.170708,maize
0.642857,0.335714,0.1,0.492087,0.64283,0.515966,0.298231,maize
0.485714,0.25,0.07,0.496937,0.605989,0.48997,0.312647,maize
0.428571,0.371429,0.095,0.282225,0.551716,0.406906,0.196951,maize
0.507143,0.335714,0.065,0.46721,0.486671,0.355505,0.20819,maize
0.435714,0.385714,0.06,0.416438,0.524799,0.461825,0.304643,maize
0.628571,0.235714,0.05,0.466479,0.602679,0.458819,0.151898,maize
0.464286,0.392857,0.085,0.474666,0.679654,0.482437,0.315076,maize
0.557143,0.228571,0.085,0.473933,0.572303,0.439448,0.195113,maize
0.557143,0.378571,0.05,0.464383,0.62478,0.470252,0.153413,maize
0.657143,0.392857,0.09,0.282406,0.667941,0.344759,0.178631,maize
0.564286,0.385714,0.06,0.331546,0.577208,0.488225,0.317207,maize
0.65,0.357143,0.05,0.265922,0.6807,0.446617,0.211067,maize
0.542857,0.328571,0.065,0.497684,0.673143,0.426461,0.214256,maize
0.621429,0.307143,0.1,0.282018,0.549681,0.490173,0.263731,maize
0.507143,0.392857,0.085,0.494953,0.526265,0.419892,0.23548,maize
0.642857,0.371429,0.095,0.289897,0.682923,0.412748,0.22321,maize
0.478571,0.214286,0.085,0.415491,0.571468,0.448022,0.318123,maize
0.428571,0.35,0.07,0.284724,0.562746,0.453019,0.179712,maize
0.592857,0.378571,0.09,0.313243,0.529661,0.447325,0.162736,maize
0.592857,0.371429,0.07,0.485075,0.658969,0.524563,0.282115,maize
0.285714,0.478571,0.36,0.235276,0.031853,0.619134,0.245519,chickpea
0.164286,0.478571,0.395,0.292539,0.033521,0.531154,0.214536,chickpea
0.278571,0.378571,0.4,0.260033,0.01339,0.387566,0.17366,chickpea
0.157143,0.478571,0.4,0.288162,0.016332,0.448875,0.245373,chickpea
0.257143,0.442857,0.36,0.273857,0.061894,0.56732,0.212152,chickpea
0.228571,0.485714,0.38,0.333577,0.013358,0.386331,0.260366,chickpea
0.414286,0.464286,0.395,0.339418,0.027416,0.423974,0.195624,chickpea
0.421429,0.464286,0.395,0.244168,0.052392,0.629214,0.224201,chickpea
0.3,0.407143,0.35,0.268393,0.0542,0.5452,0.221444,chickpea
0.2,0.492857,0.38,0.263618,0.047264,0.816293,0.221932,chickpea
0.414286,0.435714,0.37,0.349157,0.059221,0.810757,0.263488,chickpea
0.307143,0.435714,0.37,0.305214,0.011284,0.695431,0.195346,chickpea
0.414286,0.414286,0.38,0.315289,0.005128,0.46821,0.21108,chickpea
0.164286,0.407143,0.4,0.291209,0.061337,0.77529,0.217352,chickpea
0.192857,0.407143,0.36,0.268917,0.005281,0.477683,0.179525,chickpea
0.2,0.478571,0.395,0.28419,0.057439,0.462966,0.184548,chickpea
0.357143,0.364286,0.355,0.349194,0.06535,0.693875,0.191472,chickpea
0.278571,0.471429,0.395,0.328721,0.024933,0.720969,0.223863,chickpea
0.178571,0.521429,0.355,0.248344,0.017474,0.579163,0.167985,chickpea
0.221429,0.464286,0.36,0.346128,0.000759,0.46464,0.252385,chickpea
0.185714,0.535714,0.39,0.236997,0.02202,0.62576,0.183578,chickpea
0.178571,0.45,0.36,0.323323,0.009971,0.65264,0.235452,chickpea
0.221429,0.521429,0.355,0.250975,0.008647,0.779931,0.248247,chickpea
0.428571,0.45,0.39,0.29541,0.048723,0.484601,0.234663,chickpea
0.421429,0.407143,0.39,0.2798,0.057884,0.715304,0.189468,chickpea
0.157143,0.442857,0.365,0.239324,0.001943,0.419782,0.187231,chickpea
0.257143,0.428571,0.375,0.271494,0.028244,0.395988,0.196384,chickpea
0.421429,0.392857,0.395,0.292816,0.051435,0.651009,0.267645,chickpea
0.385714,0.514286,0.4,0.238629,0.032759,0.672509,0.228256,chickpea
0.307143,0.45,0.38,0.248277,0.042864,0.506481,0.21092,chickpea
0.2,0.507143,0.385,0.336884,0,0.489815,0.228304,chickpea
0.3,0.528571,0.4,0.240982,0.018229,0.408187,0.202496,chickpea
0.228571,0.392857,0.39,0.311788,0.060476,0.828031,0.25705,chickpea
0.157143,0.521429,0.355,0.258906,0.056387,0.795745,0.201594,chickpea
0.221429,0.528571,0.35,0.286789,0.021574,0.730927,0.249758,chickpea
0.2,0.378571,0.38,0.248189,0.026657,0.416102,0.26276,chickpea
0.407143,0.378571,0.36,0.2841,0.038799,0.695802,0.219115,chickpea
0.35,0.357143,0.365,0.282071,0.022394,0.677781,0.220933,chickpea
0.328571,0.507143,0.36,0.270016,0.063312,0.538555,0.228266,chickpea
0.385714,0.4,0.36,0.286553,0.011177,0.420169,0.205971,chickpea
0.271429,0.392857,0.355,0.28192,0.041418,0.834169,0.207354,chickpea
0.421429,0.357143,0.37,0.331179,0.03077,0.818211,0.222898,chickpea
0.257143,0.507143,0.35,0.274192,0.027764,0.813579,0.180742,chickpea
0.407143,0.45,0.38,0.23944,0.035539,0.71168,0.188882,chickpea
0.25,0.435714,0.38,0.302594,0.017691,0.409542,0.233653,chickpea
0.25,0.421429,0.365,0.2612,0.000178,0.62079,0.234104,chickpea
0.371429,0.392857,0.37,0.304958,0.046392,0.758192,0.199104,chickpea
0.192857,0.507143,0.39,0.295629,0.00775,0.433082,0.249354,chickpea
0.407143,0.392857,0.395,0.294916,0.03504,0.479294,0.198599,chickpea
0.371429,0.45,0.365,0.248477,0.031528,0.527468,0.236536,chickpea
0.307143,0.528571,0.37,0.303641,0.055087,0.669015,0.215698,chickpea
0.314286,0.492857,0.4,0.325994,0.06275,0.566989,0.208548,chickpea
0.171429,0.357143,0.365,0.24325,0.010452,0.489001,0.198911,chickpea
0.207143,0.514286,0.35,0.24901,0.014264,0.664637,0.189451,chickpea
0.142857,0.392857,0.365,0.268199,0.005166,0.443832,0.253512,chickpea
0.4,0.442857,0.365,0.251042,0.028699,0.738794,0.206962,chickpea
0.264286,0.435714,0.4,0.347379,0.054301,0.45898,0.207861,chickpea
0.35,0.471429,0.355,0.312349,0.039438,0.483384,0.234842,chickpea
0.421429,0.457143,0.375,0.294225,0.042106,0.724784,0.176738,chickpea
0.142857,0.528571,0.36,0.279032,0.020617,0.644433,0.201597,chickpea
0.171429,0.364286,0.4,0.268964,0.036808,0.472936,0.217099,chickpea
0.364286,0.478571,0.35,0.288749,0.008591,0.559764,0.215198,chickpea
0.407143,0.485714,0.4,0.277403,0.005402,0.599245,0.257715,chickpea
0.157143,0.421429,0.385,0.306001,0.033999,0.46176,0.24179,chickpea
0.371429,0.485714,0.37,0.241953,0.052394,0.674239,0.265105,chickpea
0.207143,0.5,0.35,0.309858,0.05199,0.553632,0.245186,chickpea
0.314286,0.385714,0.365,0.340019,0.065278,0.636713,0.231983,chickpea
0.292857,0.457143,0.385,0.321326,0.027704,0.499326,0.1752,chickpea
0.371429,0.364286,0.4,0.32405,0.002149,0.515116,0.245988,chickpea
0.242857,0.507143,0.375,0.339492,0.018521,0.696801,0.161764,chickpea
0.3,0.492857,0.39,0.299358,0.000261,0.62835,0.163712,chickpea
0.242857,0.471429,0.37,0.261182,0.018643,0.656924,0.195537,chickpea
0.192857,0.485714,0.37,0.296622,0.018396,0.598759,0.22449,chickpea
0.214286,0.464286,0.37,0.328373,0.06663,0.59225,0.177594,chickpea
0.407143,0.371429,0.35,0.237171,0.046584,0.665639,0.240932,chickpea
0.192857,0.528571,0.385,0.236447,0.038288,0.435786,0.182003,chickpea
0.228571,0.471429,0.4,0.338653,0.002124,0.450867,0.258147,chickpea
0.221429,0.507143,0.385,0.344311,0.041908,0.636752,0.211942,chickpea
0.235714,0.5,0.395,0.305208,0.052147,0.577305,0.174611,chickpea
0.335714,0.535714,0.36,0.239795,0.025324,0.630815,0.189111,chickpea
0.385714,0.407143,0.375,0.248594,0.024877,0.619686,0.212849,chickpea
0.335714,0.528571,0.365,0.248445,0.005857,0.482859,0.161317,chickpea
0.25,0.371429,0.39,0.305812,0.037181,0.617704,0.216589,chickpea
0.378571,0.485714,0.36,0.312424,0.044779,0.594168,0.191966,chickpea
0.321429,0.4,0.365,0.305907,0.021049,0.464149,0.220289,chickpea
0.264286,0.521429,0.37,0.319284,0.006629,0.665846,0.245985,chickpea
0.214286,0.5,0.38,0.303939,0.029708,0.45156,0.173465,chickpea
0.264286,0.357143,0.385,0.30503,0.043912,0.764986,0.209226,chickpea
0.378571,0.428571,0.355,0.326134,0.02522,0.811032,0.205234,chickpea
0.157143,0.392857,0.4,0.287336,0.005631,0.669832,0.267903,chickpea
0.428571,0.4,0.365,0.341078,0.065074,0.437364,0.265226,chickpea
0.3,0.442857,0.36,0.291783,0.019577,0.561347,0.210117,chickpea
0.278571,0.507143,0.355,0.319735,0.015342,0.720203,0.175845,chickpea
0.25,0.414286,0.355,0.257963,0.039073,0.654616,0.253673,chickpea
0.214286,0.428571,0.385,0.341137,0.011901,0.559698,0.203226,chickpea
0.407143,0.364286,0.365,0.244358,0.052473,0.83304,0.171523,chickpea
0.342857,0.428571,0.365,0.247108,0.000938,0.677472,0.189982,chickpea
0.257143,0.364286,0.39,0.289015,0.064204,0.613952,0.175621,chickpea
0.285714,0.378571,0.35,0.280238,0.006084,0.569697,0.249322,chickpea
0.35,0.457143,0.385,0.27231,0.012872,0.584474,0.221218,chickpea
0.092857,0.392857,0.1,0.238488,0.073928,0.339208,0.388166,kidneybeans
0.178571,0.464286,0.055,0.310161,0.054232,0.350601,0.309498,kidneybeans
0.221429,0.357143,0.085,0.404244,0.082608,0.36832,0.319794,kidneybeans
0.285714,0.421429,0.055,0.2183,0.116449,0.37664,0.43169,kidneybeans
0.014286,0.4,0.075,0.382041,0.102241,0.381141,0.202731,kidneybeans
0.185714,0.428571,0.085,0.258893,0.052706,0.380259,0.441486,kidneybeans
0.121429,0.371429,0.08,0.317312,0.070664,0.355263,0.14625,kidneybeans
0.185714,0.535714,0.065,0.301276,0.105868,0.322886,0.303817,kidneybeans
0.121429,0.385714,0.06,0.27521,0.106974,0.339812,0.405135,kidneybeans
0.192857,0.385714,0.085,0.372628,0.10438,0.356032,0.394647,kidneybeans
0.2,0.378571,0.095,0.312809,0.046938,0.348883,0.443874,kidneybeans
0.178571,0.371429,0.07,0.238987,0.065474,0.320632,0.243527,kidneybeans
0.2,0.535714,0.06,0.309798,0.051487,0.358405,0.445288,kidneybeans
0.178571,0.392857,0.085,0.367457,0.080738,0.370511,0.41011,kidneybeans
0.085714,0.521429,0.09,0.207736,0.052106,0.387751,0.243777,kidneybeans
0.042857,0.514286,0.1,0.338193,0.11788,0.355812,0.177572,kidneybeans
0.157143,0.528571,0.06,0.361518,0.071609,0.374403,0.346003,kidneybeans
0.192857,0.535714,0.05,0.293984,0.081108,0.355134,0.237141,kidneybeans
0.071429,0.357143,0.09,0.354747,0.062717,0.34578,0.420277,kidneybeans
0.164286,0.428571,0.075,0.407957,0.095284,0.362219,0.316715,kidneybeans
0.135714,0.521429,0.055,0.339402,0.103208,0.382994,0.170672,kidneybeans
0.135714,0.428571,0.1,0.265994,0.047071,0.329741,0.447564,kidneybeans
0.157143,0.464286,0.07,0.270076,0.079539,0.312715,0.176894,kidneybeans
0.264286,0.421429,0.085,0.248386,0.053278,0.380993,0.365473,kidneybeans
0.078571,0.471429,0.06,0.318323,0.084168,0.348612,0.224446,kidneybeans
0.128571,0.528571,0.075,0.328537,0.104724,0.368969,0.429464,kidneybeans
0.15,0.414286,0.06,0.199371,0.058003,0.384929,0.316627,kidneybeans
0.171429,0.535714,0.085,0.226286,0.057376,0.331435,0.275056,kidneybeans
0.242857,0.392857,0.085,0.25354,0.045436,0.331317,0.289061,kidneybeans
0.114286,0.5,0.08,0.277799,0.109172,0.338158,0.240131,kidneybeans
0.121429,0.514286,0.09,0.450148,0.076493,0.336734,0.158017,kidneybeans
0.264286,0.478571,0.065,0.288394,0.119947,0.345159,0.306094,kidneybeans
0.285714,0.485714,0.075,0.366365,0.0707,0.3587,0.147037,kidneybeans
0.064286,0.514286,0.06,0.324193,0.118917,0.354363,0.308774,kidneybeans
0.007143,0.407143,0.09,0.189665,0.048023,0.327052,0.426871,kidneybeans
0.235714,0.385714,0.085,0.396464,0.085576,0.379801,0.367084,kidneybeans
0.164286,0.385714,0.07,0.377618,0.123828,0.365034,0.392866,kidneybeans
0.042857,0.407143,0.085,0.335866,0.044727,0.360687,0.360122,kidneybeans
0.178571,0.414286,0.075,0.199724,0.080344,0.310753,0.269299,kidneybeans
0.05,0.528571,0.09,0.310213,0.063337,0.360307,0.274647,kidneybeans
0.057143,0.478571,0.06,0.337096,0.064089,0.343168,0.243103,kidneybeans
0.192857,0.421429,0.05,0.325257,0.123467,0.312608,0.424018,kidneybeans
0.2,0.435714,0.09,0.364829,0.116605,0.387446,0.360986,kidneybeans
0.228571,0.371429,0.065,0.192617,0.110793,0.340677,0.313182,kidneybeans
0.192857,0.364286,0.085,0.318305,0.075159,0.362074,0.317703,kidneybeans
0.121429,0.514286,0.095,0.342723,0.054517,0.320933,0.319053,kidneybeans
0,0.428571,0.05,0.419974,0.104568,0.332904,0.271714,kidneybeans
0.092857,0.478571,0.08,0.444636,0.078973,0.360236,0.143935,kidneybeans
0.242857,0.392857,0.09,0.32425,0.124955,0.335053,0.286829,kidneybeans
0.064286,0.535714,0.07,0.37247,0.050311,0.379562,0.376815,kidneybeans
0.078571,0.478571,0.075,0.306934,0.124447,0.38045,0.334554,kidneybeans
0.021429,0.442857,0.095,0.234578,0.065908,0.313534,0.298479,kidneybeans
0.25,0.457143,0.09,0.228473,0.124945,0.32248,0.198463,kidneybeans
0.021429,0.514286,0.1,0.459784,0.100749,0.327108,0.150896,kidneybeans
0.164286,0.407143,0.07,0.220723,0.072296,0.327305,0.28226,kidneybeans
0.157143,0.471429,0.06,0.267643,0.05982,0.311732,0.31428,kidneybeans
0.221429,0.528571,0.1,0.412139,0.093934,0.372808,0.155096,kidneybeans
